source,target,weight
"Bang, Hyejin","Bang, Hyejin",1
"Bang, Hyejin","Kim, Ji won",1
"Rantanen, Terhi","Rantanen, Terhi",1
"Tsai, Victoria","Tsai, Victoria",1
"Tsai, Victoria","Adams, Aubrie",1
"Tsai, Victoria","Magana, Gladys",1
"Tsai, Victoria","Young, Christina",1
"d'Haenens, Leen","Van Gorp, Baldwin",1
"d'Haenens, Leen","Boesman, Jan",1
"d'Haenens, Leen","d'Haenens, Leen",1
"d'Haenens, Leen","Berbers, Anna",1
"Bejerano, Arleen","Bejerano, Arleen",1
"Mease, Jennifer","Mease, Jennifer",1
"Mahrt, Merja","Mahrt, Merja",1
"Rossman, Leslie","Rossman, Leslie",1
"Tromble, Rebekah","Meffert, Michael",1
"Tromble, Rebekah","Tromble, Rebekah",1
"Linder, Jennifer","Linder, Jennifer",1
"Linder, Jennifer","Nelson, David",1
"Linder, Jennifer","Coyne, Sarah",1
"Linder, Jennifer","Rasmussen, Eric",1
"Billings, Andrew","Schallhorn, Christiana",1
"Billings, Andrew","Brown, Kenon",1
"Billings, Andrew","Brown, Natalie",1
"Billings, Andrew","Schramm, Holger",1
"Billings, Andrew","Billings, Andrew",1
"Noordink, Steffi","Gosselt, Jordy",1
"Noordink, Steffi","Noordink, Steffi",1
"Noordink, Steffi","Van Hoof, Joris",1
"Barbour, Joshua","Doshi, Marissa",1
"Barbour, Joshua","Hernandez, Leandra",1
"Barbour, Joshua","Barbour, Joshua",1
"Kyewski, Elias","Kyewski, Elias",1
"Duguay, Stefanie","Duguay, Stefanie",1
"Duguay, Stefanie","Light, Ben",1
"Duguay, Stefanie","Burgess, Jean",1
"Chan, Michael","Chan, Michael",1
"Dailey, Stephanie","MacArthur, Brenda",1
"Dailey, Stephanie","Dailey, Stephanie",1
"Dailey, Stephanie","Villagran, Melinda",1
"Jin, Dal Yong","Jin, Dal Yong",1
"Liran Alper, Dalia","geffen, shelly",1
"Liran Alper, Dalia","Liran Alper, Dalia",1
"Banks, Jaime","Banks, Jaime",1
"Li, Minjie","Li, Minjie",1
"Li, Minjie","Sanders, Meghan",1
"Ganji Ketab, Somayeh Mortazavi","Ganji Ketab, Somayeh Mortazavi",1
"Ganji Ketab, Somayeh Mortazavi","Tamam, Ezhar",1
"Ganji Ketab, Somayeh Mortazavi","Bolong, Jusang",1
"Lertpratchya, Alisa","Carpenter, Serena",1
"Lertpratchya, Alisa","Lertpratchya, Alisa",1
"Lertpratchya, Alisa","Takahashi, Bruno",1
"Lertpratchya, Alisa","Cunningham, Carie",1
"Giles, Howard","Giles, Howard",1
"Giles, Howard","Gasiorek, Jessica",1
"Giles, Howard","Viladot Presas, Ma. Angels",1
"Gillespie, Tarleton","Gillespie, Tarleton",1
"Karbeyaz, Ceyhun","Karbeyaz, Ceyhun",1
"Karbeyaz, Ceyhun","Keegan, Brian",1
"Karbeyaz, Ceyhun","Ognyanova, Katherine",1
"Karbeyaz, Ceyhun","Foucault Welles, Brooke",1
"Karbeyaz, Ceyhun","Hoye, Jefferson",1
"Karbeyaz, Ceyhun","Meleis, Waleed",1
"Karbeyaz, Ceyhun","Radford, Jason",1
"Karbeyaz, Ceyhun","Lazer, David",1
"Dionne, Terrell","Dionne, Terrell",1
"Van Lippevelde, Wendy","Van Lippevelde, Wendy",1
"Van Lippevelde, Wendy","De Cock, Nathalie",1
"Van Lippevelde, Wendy","Beullens, Kathleen",1
"Van Lippevelde, Wendy","Vangeel, Jolien",1
"Van Lippevelde, Wendy","Vervoort, Leentje",1
"Van Lippevelde, Wendy","Goossens, Lien",1
"Selberg, Scott","Selberg, Scott",1
"Taylor, Maureen","Taylor, Maureen",1
"Taylor, Maureen","Sommerfeldt, Erich",1
"Taylor, Maureen","Yang, Aimei",1
"Bighash, Leila","Monge, Peter",1
"Bighash, Leila","Bighash, Leila",1
"Bighash, Leila","Oh, Poong",1
"Bighash, Leila","Fulk, Janet",1
"Bickham, David","Rich, Michael",1
"Bickham, David","Doornwaard, Suzan",1
"Bickham, David","Bickham, David",1
"Ritterfeld, Ute","Ritterfeld, Ute",1
"Ritterfeld, Ute","Roehm, Alexander",1
"Ritterfeld, Ute","Hastall, Matthias",1
"Yang, JungHwan","Bucy, Erik",1
"Yang, JungHwan","Yang, JungHwan",1
"Yang, JungHwan","Hanna, Alex",1
"Yang, JungHwan","Shah, Dhavan",1
"Yang, JungHwan","Garlough, Christine",1
"Harrington, Stephen","Harrington, Stephen",1
"Harrington, Stephen","Flew, Terry",1
"Lueck, Julia","Lueck, Julia",1
"Lueck, Julia","Wozniak, Antal",1
"Lueck, Julia","Hofer, Lutz",1
"Lueck, Julia","Wessler, Hartmut",1
"Lehman-Wilzig, Sam","Fridkin, Shimon",1
"Lehman-Wilzig, Sam","Hammel, Sagi",1
"Lehman-Wilzig, Sam","Lehman-Wilzig, Sam",1
"Flmig, Anne","Flmig, Anne",1
"Flmig, Anne","In der Au, Anne-Marie",1
"Flmig, Anne","Hagen, Lutz",1
"Ramirez, Fanny","Ramirez, Fanny",1
"Wertley, Chad","Soliz, Jordan",1
"Wertley, Chad","Ledbetter, Geoffrey",1
"Wertley, Chad","Kienzle, Jennifer",1
"Wertley, Chad","Wertley, Chad",1
"Wertley, Chad","Coatney, Hannah",1
"CHEN, Cheng","CHEN, Cheng",1
"CHEN, Cheng","Leung, Louis",1
"Van Gorp, Baldwin","Van Gorp, Baldwin",1
"Avalos, Rebecca","Avalos, Rebecca",1
"Veldhuis, Jolanda","Veldhuis, Jolanda",1
"Veldhuis, Jolanda","Konijn, Elly",1
"Veldhuis, Jolanda","Pepping, Rian",1
"Veldhuis, Jolanda","te Poel, Fam",1
"Veldhuis, Jolanda","Spekman, Marloes",1
"de Onis, Kathleen","de Onis, Kathleen",1
"Golan, Guy","Golan, Guy",1
"Brown, Kenon","Schallhorn, Christiana",1
"Brown, Kenon","Brown, Kenon",1
"Brown, Kenon","Brown, Natalie",1
"Brown, Kenon","Schramm, Holger",1
"Brown, Kenon","Billings, Andrew",1
"Strecher, Victor","Falk, Emily",1
"Strecher, Victor","Cascio, Christopher",1
"Strecher, Victor","Tinney, Frank",1
"Strecher, Victor","O'Donnell, Matthew",1
"Strecher, Victor","Strecher, Victor",1
"Strecher, Victor","Lieberman, Matthew",1
"Strecher, Victor","Taylor, Shelley",1
"Benefield, Grace","Benefield, Grace",1
"Yoon, Ho Young","Yoon, Ho Young",1
"Thimm, Caja","Thimm, Caja",1
"Park, SangHee","Joa, Claire",1
"Park, SangHee","Park, SangHee",1
"Park, SangHee","Labbe, Brett",1
"Rico, Andrew","Rico, Andrew",1
"Rosaen, Sarah","Rosaen, Sarah",1
"Rosaen, Sarah","Dibble, Jayson",1
"Heling, Leonie","Vorderer, Peter",1
"Heling, Leonie","Heling, Leonie",1
"Heling, Leonie","Reich, Sabine",1
"Yilmaz, Gamze","LeFebvre, Leah",1
"Yilmaz, Gamze","Yilmaz, Gamze",1
"Yilmaz, Gamze","LeFebvre, Luke",1
"Freedman, Des","Freedman, Des",1
"Chen, Xi","Hornik, Robert",1
"Chen, Xi","Albarracin, Dolores",1
"Chen, Xi","Falk, Emily",1
"Chen, Xi","Chen, Xi",1
"Chen, Xi","Liu, Jiaying",1
"Chen, Xi","Zhao, Siman",1
"Somma, Nicolas","Valenzuela, Sebastian",1
"Somma, Nicolas","Somma, Nicolas",1
"Somma, Nicolas","Arriagada, Arturo",1
"Somma, Nicolas","Scherman, Andres",1
"Kim, Guri","Kim, Guri",1
"Kim, Guri","Shin, Dong-Hee",1
"Kim, Guri","Gu, Ji-Hyang",1
