source,target,weight
"Philosophy, Theory and Critique","Philosophy, Theory and Critique",97
"Philosophy, Theory and Critique",Instructional & Developmental Communication,2
"Philosophy, Theory and Critique",Communication History,1
"Philosophy, Theory and Critique",Intergroup Communication,0
"Philosophy, Theory and Critique",Interpersonal Communication,0
"Philosophy, Theory and Critique",Sponsored Sessions,2
"Philosophy, Theory and Critique",Global Communication and Social Change,5
"Philosophy, Theory and Critique",Theme Sessions,1
"Philosophy, Theory and Critique",Environmental Communication,2
"Philosophy, Theory and Critique",Organizational Communication,2
"Philosophy, Theory and Critique",Intercultural Communication,0
"Philosophy, Theory and Critique",Mass Communication,2
"Philosophy, Theory and Critique","Lesbian, Gay, Bisexual, Transgender and Queer Studies",0
"Philosophy, Theory and Critique",Game Studies,0
"Philosophy, Theory and Critique",Communication Law & Policy,3
"Philosophy, Theory and Critique",Public Relations,0
"Philosophy, Theory and Critique",Children Adolescents and the Media,0
"Philosophy, Theory and Critique",Communication and Technology,1
"Philosophy, Theory and Critique",Language & Social Interaction,1
"Philosophy, Theory and Critique",Sports Communication,1
"Philosophy, Theory and Critique",Ethnicity and Race in Communication,1
"Philosophy, Theory and Critique",Political Communication,2
"Philosophy, Theory and Critique",Journalism Studies,5
"Philosophy, Theory and Critique",Visual Communication Studies,1
"Philosophy, Theory and Critique",Information Systems,0
"Philosophy, Theory and Critique",Popular Communication,6
"Philosophy, Theory and Critique",Health Communication,0
"Philosophy, Theory and Critique",Feminist Scholarship,2
Instructional & Developmental Communication,"Philosophy, Theory and Critique",2
Instructional & Developmental Communication,Instructional & Developmental Communication,114
Instructional & Developmental Communication,Communication History,0
Instructional & Developmental Communication,Intergroup Communication,2
Instructional & Developmental Communication,Interpersonal Communication,4
Instructional & Developmental Communication,Sponsored Sessions,5
Instructional & Developmental Communication,Global Communication and Social Change,0
Instructional & Developmental Communication,Theme Sessions,1
Instructional & Developmental Communication,Environmental Communication,0
Instructional & Developmental Communication,Organizational Communication,6
Instructional & Developmental Communication,Intercultural Communication,3
Instructional & Developmental Communication,Mass Communication,5
Instructional & Developmental Communication,"Lesbian, Gay, Bisexual, Transgender and Queer Studies",0
Instructional & Developmental Communication,Game Studies,1
Instructional & Developmental Communication,Communication Law & Policy,0
Instructional & Developmental Communication,Public Relations,1
Instructional & Developmental Communication,Children Adolescents and the Media,1
Instructional & Developmental Communication,Communication and Technology,7
Instructional & Developmental Communication,Language & Social Interaction,1
Instructional & Developmental Communication,Sports Communication,0
Instructional & Developmental Communication,Ethnicity and Race in Communication,1
Instructional & Developmental Communication,Political Communication,2
Instructional & Developmental Communication,Journalism Studies,1
Instructional & Developmental Communication,Visual Communication Studies,1
Instructional & Developmental Communication,Information Systems,6
Instructional & Developmental Communication,Popular Communication,0
Instructional & Developmental Communication,Health Communication,8
Instructional & Developmental Communication,Feminist Scholarship,0
Communication History,"Philosophy, Theory and Critique",1
Communication History,Instructional & Developmental Communication,0
Communication History,Communication History,49
Communication History,Intergroup Communication,0
Communication History,Interpersonal Communication,1
Communication History,Sponsored Sessions,1
Communication History,Global Communication and Social Change,2
Communication History,Theme Sessions,0
Communication History,Environmental Communication,0
Communication History,Organizational Communication,0
Communication History,Intercultural Communication,0
Communication History,Mass Communication,1
Communication History,"Lesbian, Gay, Bisexual, Transgender and Queer Studies",0
Communication History,Game Studies,0
Communication History,Communication Law & Policy,4
Communication History,Public Relations,0
Communication History,Children Adolescents and the Media,1
Communication History,Communication and Technology,1
Communication History,Language & Social Interaction,0
Communication History,Sports Communication,0
Communication History,Ethnicity and Race in Communication,0
Communication History,Political Communication,2
Communication History,Journalism Studies,4
Communication History,Visual Communication Studies,0
Communication History,Information Systems,0
Communication History,Popular Communication,1
Communication History,Health Communication,0
Communication History,Feminist Scholarship,2
Intergroup Communication,"Philosophy, Theory and Critique",0
Intergroup Communication,Instructional & Developmental Communication,2
Intergroup Communication,Communication History,0
Intergroup Communication,Intergroup Communication,87
Intergroup Communication,Interpersonal Communication,2
Intergroup Communication,Sponsored Sessions,2
Intergroup Communication,Global Communication and Social Change,1
Intergroup Communication,Theme Sessions,0
Intergroup Communication,Environmental Communication,0
Intergroup Communication,Organizational Communication,5
Intergroup Communication,Intercultural Communication,1
Intergroup Communication,Mass Communication,9
Intergroup Communication,"Lesbian, Gay, Bisexual, Transgender and Queer Studies",0
Intergroup Communication,Game Studies,2
Intergroup Communication,Communication Law & Policy,0
