source,target,weight
U of Hartford,U of Hartford,1
Tbingen U,Tbingen U,1
Tbingen U,Technische U Chemnitz,2
Tbingen U,Technische Universitaet Chemnitz / HIIG,1
City of Boston,City of Boston,2
USC Annenberg,U of Southern California,3
USC Annenberg,USC Annenberg,2
BI Norwegian Business School,Hohenheim U,1
BI Norwegian Business School,U of St. Gallen,2
BI Norwegian Business School,U of St.Gallen,1
BI Norwegian Business School,BI Norwegian Business School,2
Northwestern U,Hong Kong Baptist U,1
Northwestern U,Northwestern U,142
Northwestern U,VU U Amsterdam,2
Northwestern U,U of Illinois,1
Northwestern U,Hebrew U - Jerusalem,1
Northwestern U,Indiana U,1
Northwestern U,U of Connecticut,1
Northwestern U,Georgetown U,1
Northwestern U,U of Texas,1
Northwestern U,U of Missouri,1
Northwestern U,Wake Forest U,3
Northwestern U,U of Wisconsin,6
Northwestern U,California State U,1
Northwestern U,Microsoft Research,1
Northwestern U,U of Southern California,4
Northwestern U,Cornell U,1
Northwestern U,Northeastern U,1
Northwestern U,George Mason U,1
Northwestern U,Florida State U,5
Northwestern U,Keio U,1
Northwestern U,Northwestern U in Qatar,1
Northwestern U,Ohio State U,1
Communica PR Consulting,U of Houston,1
Communica PR Consulting,Villanova U,1
Communica PR Consulting,Porter Novelli,1
Communica PR Consulting,Communica PR Consulting,1
Marymount Manhattan College,Marymount Manhattan College,1
Center on Media and Child Health,Center on Media and Child Health,4
Center on Media and Child Health,U of Utrecht,2
Center on Media and Child Health,Boston Children's Hospital,5
Center on Media and Child Health,Utrecht U,6
Lake Forest College,Lake Forest College,1
Seoul National U,U of Illinois at UrbanaChampaign,2
Seoul National U,Ball State U,1
Seoul National U,Dana-Farber Cancer Institute and Harvard School of Public Health,1
Seoul National U,Nielsen Korea,2
Seoul National U,Iowa State U,2
Seoul National U,Seoul National U,11
Seoul National U,Hankuk U of Foreign Studies,1
Seoul National U,U of Illinois,1
CES Villanueva,CES Villanueva,1
CES Villanueva,U of Navarra / Intermedia Social Innovation,1
CES Villanueva,U Autonoma de Madrid,1
CES Villanueva,U of Murcia,1
BSS - Aarhus U,U of Tennessee,1
BSS - Aarhus U,BSS - Aarhus U,1
BSS - Aarhus U,Aarhus U,1
U of Illinois,U Mannheim,2
U of Illinois,U of Texas,1
U of Illinois,U of Illinois at UrbanaChampaign,13
U of Illinois,Northeastern U,1
U of Illinois,George Washington U,2
U of Illinois,U of Buffalo,1
U of Illinois,Seoul National U,1
U of Illinois,Dana-Farber Cancer Institute and Harvard School of Public Health,1
U of Illinois,California State U,1
U of Illinois,UCLA,1
U of Illinois,The Ohio State U,1
U of Illinois,U of North Texas,1
U of Illinois,SUNY,1
