univ	freq
	3
U of Hartford	1
Tübingen U	1
U of Maryland College Park	5
City of Boston	2
U of Wisconsin-Eau Claire	2
USC Annenberg	1
BI Norwegian Business School	2
Northwestern U	59
Annenberg School for Communication UPenn	1
Marymount Manhattan College	1
U of California at Santa Barbara (UCSB)	1
Center on Media and Child Health	4
Lake Forest College	1
Seoul National U	7
CES Villanueva	1
BSS - Aarhus U	1
U of Illinois	12
U of Haifa	18
National U	2
1st Playable Productions	1
Central Michigan	3
U of Antwerp - Department of Communication Studies	2
National Research U High School of Economics	1
Vanderbilt U	8
U of Massachusetts - Amherst	8
California State U Los Angeles	1
U of Wisconsin-Madison	95
Texas State U	17
National U of Singapore (NUS)	1
The U of Virginia - Wise	1
Stanford U	30
U of Connecticut	52
Chinese U of Hong Kong	8
U of Salzburg	2
U of Nevada Las Vegas	3
U de San Andrs	1
Northern Illinois U	3
Wuerzburg U	3
UC Santa Barbara	3
National Institute of Advanced Industrial Science and Technology	1
U of Bremen/ U of Goldsmiths	2
Department of Communication	3
Cancer Council Victoria	1
U of Alcala	2
Renmin U of China	2
Florida Maxima	4
Tilburg U	19
U of Houston	9
Communica PR Consulting	1
U of Massachusetts	3
U of Sheffield	2
MIT Center for Collective Intelligence	3
Technische Universtitaet Chemnitz	1
U of Alberta	1
Spelman College	3
Jacobs U - Bremen	2
California State U - Long Beach	2
King Juan Carlos U	1
Missouri School of Journalism	1
Sheffield Hallam U	2
U of Missouri School of Journalism	2
U of Putra Malaysia	1
Bradley U	4
California State U - Monterrey Bay	1
Mid Sweden U	6
U of Illinois at Chicago	1
U of Wurzburg	1
Arizona State U	24
Florida Institute of Technology	2
Institute d'Etudes Politiques de Toulouse	1
Northwestern	3
U of Technology Dresden	1
Coastal Carolina U	2
U of Twente / GW / CW	3
Sam Houston State U	2
U Muenster	1
UCLA	1
U of Wyoming	6
U of Macao	1
U of Wisconsin at Madison	2
Oklahoma State U-Tulsa	1
Inha U	1
Western Kentucky U	2
Swinburne U	1
U Mainz	1
U of Nevada Reno	3
Hans Bredow Institute for Media Research	4
Boston College	8
U of Nebraska-Lincoln	4
U of Pennsylvania	97
Johannes Gutenberg U Mainz	1
U of Freiburg	2
BCCP - Bangladesh Center for Communication Programs	1
U Federal de Santa Catarina	1
U of Mannheim/U of Amsterdam	2
Georgia Institute of Technology	1
IE U	1
Warsaw U	1
The Pennsylvania State U	7
U of Alabama - Birmingham	1
Lehigh U	2
U of California - Berkeley	1
Loyola U Chicago	1
Fairfield U	9
A. T. Still U	4
U of Erfurt	14
U Lusófona	3
Radboud Universiteit Nijmegen	2
Trent U	2
Yale U	4
Ohio	3
Pepperdine U	1
Hampshire College	1
Diálogo Digital	1
U of Southern California	35
U of Westminster	3
U of Jena	3
Universiteit Antwerpen	1
U of Southampton	1
U of Leeds	6
Royal Roads U	1
The Annenberg School for Communication/ The U of Pennsylvania	1
Georgia Tech	2
Instituto de Altos Estudios Nacionales	1
The U of Scranton	1
U of California - Davis	6
Southern Illinois U - Edwardsville	2
U of Muenster	13
Ohio State U	90
U of Geneva	2
Mindful Change	1
U at Albany - SUNY	3
Sodertorn U	10
North Central College	2
Utrecht U/ Tilburg U	2
U of Southern California - Annenberg School for Communication	64
