name	freq	Change
1st Playable Productions	1	
A. T. Still U	4	
Aalborg U Copenhagen	3	
Aalto U	4	
Aarhus U	8	
Aberystwyth U	1	
Academic Medical Center U of Amsterdam	3	
Agency for Science Technology and Research	3	
AIDS Help Inc.	1	
Albion College	1	
Allegheny College	2	
American U	17	
American U in Cairo	2	
American U of Beirut	1	
American U of Central Asia	2	
Amsterdam Medical Centre U of Amsterdam	1	U of Amsterdam
Amsterdam School of Communication Research	7	U of Amsterdam
Amsterdam School of Communication Research/ U of Amsterdam	4	U of Amsterdam
Annenberg School for Communication at the U of Pennsylvania	1	U of Pennsylvania
Annenberg School for Communication U of Pennsylvania	12	U of Pennsylvania
Annenberg School for Communication UPenn	1	U of Pennsylvania
Annenberg School for Communication/U of Pennsylvania	1	U of Pennsylvania
ARC Centre of Excellence for Creative Industries and Innovation	2	Queensland U of Techology
ARC Centre of Excellence for Creative Industries and Innovation Queensland U of Technology	1	Queensland U of Techology
Arcode Corporation	1	
Aristotle U of Thessaloniki	2	
Arizona State U	24	
Arkansas State U	2	
Ars Electronica Futurelab	1	
Asbury U	2	
ASCoR - U of Amsterdam	4	U of Amsterdam
ASCoR / U of Amsterdam	3	U of Amsterdam
ASCoR U of Amsterdam	49	U of Amsterdam
Asociacion de Comunicacion Politica	1	
Auburn U	1	
Auckland U of Technology	1	
Augsburg U	17	
Aurora U	1	
Austin Peay State U	2	
Austrian Academy of Sciences - Institute for Comparative Media and Communication Studies	1	
Autonomous U of Baja California	2	Autonomous U of Baja California
Autonomous U of Baja California Mexicali	1	Autonomous U of Baja California
Ball State U	1	
Bangkok U	1	
Bangladesh Center for Communication Programs	1	Bangladesh Center for Communication Programs
Bangladesh Center for Communication Programs - BCCP	1	Bangladesh Center for Communication Programs
Bar-Ilan U	5	
Bar-Ilan U.	1	
Barry U	1	
Baruch College - CUNY	3	
BCCP - Bangladesh Center for Communication Programs	1	Bangladesh Center for Communication Programs
Behavioural Science Institute	1	Radboud U Nijmegen
Behavioural Science Institute / Radboud U Nijmegen	1	Radboud U Nijmegen
Beijing Foreign Studies U	1	
Bellevue U	2	
Ben Gurion U of the Negev	8	Ben Gurion U of the Negev
Ben-Gurion U of the Negev	12	Ben Gurion U of the Negev
BI Norwegian Business School	2	
Birkbeck U of London	4	
Birmingham City U	2	
Bloomsburg U of Pennsylvania	3	
Bocconi U	1	
Bond U	1	
Bonn U	1	
Boston Children's Hospital	4	Boston Children's Hospital
Boston Children's Hospital Harvard U	1	Boston Children's Hospital
Boston College	8	
Boston U	7	
Bournemouth U	4	
Bowdoin College	2	
Bowie State U	2	
