source	target	value
U of Hartford	U of Hartford	1
Tübingen U	Tübingen U	1
Tübingen U	Technische U Chemnitz	2
Tübingen U	Technische Universitaet Chemnitz / HIIG	1
U of Maryland College Park	U of Maryland College Park	5
City of Boston	City of Boston	2
U of Wisconsin-Eau Claire	U of Wisconsin-Eau Claire	2
USC Annenberg	U of Southern California	2
USC Annenberg	USC Annenberg	1
USC Annenberg	U of Southern California - Annenberg School for Communication	1
BI Norwegian Business School	Hohenheim U	1
BI Norwegian Business School	U of St. Gallen	2
BI Norwegian Business School	U of St.Gallen	1
BI Norwegian Business School	BI Norwegian Business School	2
Northwestern U	Hong Kong Baptist U	1
Northwestern U	U of Southern California - Annenberg School for Communication	1
Northwestern U	Northwestern U	125
Northwestern U	U of Illinois Urbana Champaign	1
Northwestern U	VU U Amsterdam	2
Northwestern U	U of Texas - El Paso	1
Northwestern U	Hebrew U - Jerusalem	1
Northwestern U	California State U Los Angeles	1
Northwestern U	U of Wisconsin-Madison	5
Northwestern U	Indiana U	1
Northwestern U	U of Connecticut	1
Northwestern U	Georgetown U	1
Northwestern U	Northwestern	7
Northwestern U	U of Missouri	1
Northwestern U	Wake Forest U	3
Northwestern U	Microsoft Research	1
Northwestern U	U of Southern California	3
Northwestern U	Cornell U	1
Northwestern U	Northeastern U	1
Northwestern U	George Mason U	1
Northwestern U	Florida State U	5
Northwestern U	Keio U	1
Northwestern U	Northwestern U in Qatar	1
Northwestern U	Ohio State U	1
Annenberg School for Communication UPenn	Annenberg School for Communication UPenn	1
Marymount Manhattan College	Marymount Manhattan College	1
U of California at Santa Barbara (UCSB)	U of California at Santa Barbara (UCSB)	1
U of California at Santa Barbara (UCSB)	U of California - Santa Barbara	2
U of California at Santa Barbara (UCSB)	U of Pennsylvania	1
Center on Media and Child Health	Boston Children's Hospital Harvard U	1
Center on Media and Child Health	Center on Media and Child Health	4
Center on Media and Child Health	U of Utrecht	2
Center on Media and Child Health	Boston Children's Hospital	4
Center on Media and Child Health	Utrecht U	6
Lake Forest College	Lake Forest College	1
Seoul National U	U of Illinois at Urbana–Champaign	2
Seoul National U	Ball State U	1
Seoul National U	Dana-Farber Cancer Institute and Harvard School of Public Health	1
Seoul National U	Nielsen Korea	2
Seoul National U	Iowa State U	2
Seoul National U	Seoul National U	11
Seoul National U	Hankuk U of Foreign Studies	1
Seoul National U	U of Illinois at Urbana-Champaign	1
CES Villanueva	CES Villanueva	1
CES Villanueva	U of Navarra / Intermedia Social Innovation	1
CES Villanueva	U Autonoma de Madrid	1
CES Villanueva	U of Murcia	1
BSS - Aarhus U	U of Tennessee	1
BSS - Aarhus U	BSS - Aarhus U	1
BSS - Aarhus U	Aarhus U	1
U of Illinois	U Mannheim	2
U of Illinois	U of Illinois at Urbana–Champaign	3
U of Illinois	Stanford Prevention Research Center	2
U of Illinois	Dana-Farber Cancer Institute and Harvard School of Public Health	1
U of Illinois	U of Illinois at Urbana-Champaign	1
U of Illinois	The Ohio State U	1
U of Illinois	U of North Texas	1
U of Illinois	U of Illinois Urbana Champaign	1
U of Illinois	U of Illinois at Urbana Champaign	2
U of Illinois	U of  Mannheim	2
U of Illinois	U of Illinois	14
U of Illinois	Ohio State U	1
U of Illinois	U of Pittsburgh	2
U of Illinois	Cornell U	1
U of Haifa	Michigan State U	2
U of Haifa	U of Southern California	1
U of Haifa	Penn State U	1
U of Haifa	ASCoR U of Amsterdam	1
U of Haifa	Tel Aviv U	1
U of Haifa	Augsburg U	1
U of Haifa	U of Amsterdam	1
U of Haifa	Gordon Teachers College	1
U of Haifa	Washington State U	1
U of Haifa	Ohio State U	1
U of Haifa	Pennsylvania State U	3
U of Haifa	U of Haifa	40
U of Haifa	U of Texas - Austin	1
National U	National U	2
National U	De La Salle U	4
1st Playable Productions	Temple U	1
1st Playable Productions	Syracuse U	1
1st Playable Productions	U at Albany SUNY	1
1st Playable Productions	Colorado State U	4
1st Playable Productions	U of Arizona	1
1st Playable Productions	1st Playable Productions	1
1st Playable Productions	U at Albany - SUNY	1
Central Michigan	Riga Stradins U	2
Central Michigan	Quinnipiac U	1
Central Michigan	National Research U High School of Economics	1
Central Michigan	George Mason U	1
Central Michigan	Central Michigan	3
U of Antwerp - Department of Communication Studies	U of Antwerp - Department of Communication Studies	2
U of Antwerp - Department of Communication Studies	U of Antwerp	2
National Research U High School of Economics	National Research U High School of Economics	1
National Research U High School of Economics	Quinnipiac U	1
National Research U High School of Economics	George Mason U	1
National Research U High School of Economics	Central Michigan	1
Vanderbilt U	U of Pennsylvania	3
Vanderbilt U	Vanderbilt U	16
Vanderbilt U	Joan Ganz Cooney Center at Sesame Workshop	4
Vanderbilt U	U of North Carolina Wilmington	1
Vanderbilt U	U of Kansas	2
Vanderbilt U	U of Arizona	1
U of Massachusetts - Amherst	Fairfield U	1
U of Massachusetts - Amherst	UMass Amherst School of Public Health and Health Sciences	1
U of Massachusetts - Amherst	U of Massachusetts - Amherst	14
U of Massachusetts - Amherst	U of Massachusetts	1
U of Massachusetts - Amherst	Washington State U	1
California State U Los Angeles	U of Texas - El Paso	1
California State U Los Angeles	U of Illinois Urbana Champaign	1
California State U Los Angeles	Northwestern U	1
California State U Los Angeles	California State U Los Angeles	1
U of Wisconsin-Madison	Texas Tech U	4
U of Wisconsin-Madison	Northwestern U	5
U of Wisconsin-Madison	Colorado State U	1
U of Wisconsin-Madison	Bournemouth U	2
U of Wisconsin-Madison	U of Michigan	1
U of Wisconsin-Madison	Iona College	12
U of Wisconsin-Madison	Hollins U	8
U of Wisconsin-Madison	U of Wisconsin Madison	1
U of Wisconsin-Madison	Austin Peay State U	2
U of Wisconsin-Madison	U of Wisconsin-Madison	259
U of Wisconsin-Madison	U of Wisconsin-Madions	1
U of Wisconsin-Madison	U of Washington	1
U of Wisconsin-Madison	Penn State U	1
U of Wisconsin-Madison	SciencesCom - Audencia Group	2
U of Wisconsin-Madison	Northwestern	1
U of Wisconsin-Madison	Rutgers U	1
U of Wisconsin-Madison	Michigan State U	3
U of Wisconsin-Madison	U of Wisconsin	4
U of Wisconsin-Madison	Hongik U	2
U of Wisconsin-Madison	LMU Munich	2
U of Wisconsin-Madison	U of Wisconsin at Madison	1
U of Wisconsin-Madison	U of Wisconsin_Madison	3
U of Wisconsin-Madison	U of Wisconsin-Madison School of Journalism and Mass Communication	2
U of Wisconsin-Madison	U of Wisconsin - Madison	19
Texas State U	Arizona State U	1
Texas State U	U.S. Outcomes Research Merk  and  Co. Inc.	1
Texas State U	U of Texas at Austin	3
Texas State U	George Mason U	8
Texas State U	The Chinese U of Hong Kong	3
Texas State U	UT Austin	1
Texas State U	San Diego State U	1
Texas State U	The U of Texas at Austin	1
Texas State U	Texas State U	31
Texas State U	U of Texas - Austin	3
National U of Singapore (NUS)	National U of Singapore (NUS)	1
National U of Singapore (NUS)	U of Oklahoma	1
The U of Virginia - Wise	Northwood U	1
The U of Virginia - Wise	The U of Virginia - Wise	1
Stanford U	U of California - Santa Barbara	1
Stanford U	U of Chicago	2
